model,img_size,top1,top1_err,top5,top5_err,param_count,crop_pct,interpolation
convnext_large_mlp.clip_laion2b_augreg_ft_in1k_384,384,97.39,2.61,99.73,0.27,200.13,1.0,bicubic
vit_large_patch14_clip_224.laion2b_ft_in12k_in1k,224,97.39,2.61,99.74,0.26,304.2,1.0,bicubic
regnety_320.swag_ft_in1k,384,97.39,2.61,99.76,0.24,145.05,1.0,bicubic
caformer_b36.sail_in22k_ft_in1k,224,97.38,2.62,99.83,0.17,98.75,1.0,bicubic
convnextv2_base.fcmae_ft_in22k_in1k_384,384,97.37,2.63,99.71,0.29,88.72,1.0,bicubic
seresnextaa201d_32x8d.sw_in12k_ft_in1k_384,384,97.36,2.64,99.73,0.27,149.39,1.0,bicubic
convformer_m36.sail_in22k_ft_in1k_384,384,97.36,2.64,99.68,0.32,57.05,1.0,bicubic
caformer_m36.sail_in22k_ft_in1k_384,384,97.36,2.64,99.78,0.22,56.2,1.0,bicubic
coatnet_rmlp_2_rw_384.sw_in12k_ft_in1k,384,97.36,2.64,99.71,0.29,73.88,1.0,bicubic
beit_base_patch16_384.in22k_ft_in22k_in1k,384,97.35,2.65,99.71,0.29,86.74,1.0,bicubic
convnextv2_large.fcmae_ft_in22k_in1k,288,97.34,2.66,99.76,0.24,197.96,1.0,bicubic
vit_huge_patch14_clip_224.laion2b_ft_in12k_in1k,224,97.34,2.66,99.8,0.2,632.05,1.0,bicubic
convnext_large.fb_in22k_ft_in1k_384,384,97.33,2.67,99.75,0.25,197.77,1.0,bicubic
seresnextaa101d_32x8d.sw_in12k_ft_in1k_288,288,97.33,2.67,99.76,0.24,93.59,0.95,bicubic
deit3_large_patch16_224.fb_in22k_ft_in1k,224,97.32,2.68,99.68,0.32,304.37,1.0,bicubic
tf_efficientnetv2_xl.in21k_ft_in1k,512,97.32,2.68,99.6,0.4,208.12,1.0,bicubic
maxvit_rmlp_base_rw_384.sw_in12k_ft_in1k,384,97.32,2.68,99.72,0.28,116.14,1.0,bicubic
tf_efficientnetv2_l.in21k_ft_in1k,480,97.32,2.68,99.64,0.36,118.52,1.0,bicubic
seresnextaa101d_32x8d.sw_in12k_ft_in1k_288,320,97.31,2.69,99.78,0.22,93.59,1.0,bicubic
volo_d5_512.sail_in1k,512,97.3,2.7,99.77,0.23,296.09,1.15,bicubic
swinv2_large_window12to24_192to384.ms_in22k_ft_in1k,384,97.3,2.7,99.78,0.22,196.74,1.0,bicubic
convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_320,320,97.29,2.71,99.74,0.26,200.13,1.0,bicubic
beitv2_large_patch16_224.in1k_ft_in1k,224,97.29,2.71,99.74,0.26,304.43,0.95,bicubic
caformer_s36.sail_in22k_ft_in1k_384,384,97.28,2.72,99.72,0.28,39.3,1.0,bicubic
convnextv2_huge.fcmae_ft_in1k,288,97.27,2.73,99.71,0.29,660.29,1.0,bicubic
convnextv2_large.fcmae_ft_in22k_in1k,224,97.27,2.73,99.72,0.28,197.96,0.875,bicubic
swinv2_base_window12to24_192to384.ms_in22k_ft_in1k,384,97.26,2.74,99.8,0.2,87.92,1.0,bicubic
convnext_xlarge.fb_in22k_ft_in1k,224,97.26,2.74,99.74,0.26,350.2,0.875,bicubic
vit_so150m2_patch16_reg1_gap_256.sbb_e200_in12k_ft_in1k,256,97.25,2.75,99.76,0.24,136.06,1.0,bicubic
deit3_huge_patch14_224.fb_in22k_ft_in1k,224,97.25,2.75,99.72,0.28,632.13,1.0,bicubic
convnext_large.fb_in22k_ft_in1k,288,97.24,2.76,99.72,0.28,197.77,1.0,bicubic
deit3_base_patch16_384.fb_in22k_ft_in1k,384,97.24,2.76,99.68,0.32,86.88,1.0,bicubic
convnext_base.fb_in22k_ft_in1k_384,384,97.24,2.76,99.72,0.28,88.59,1.0,bicubic
volo_d5_448.sail_in1k,448,97.24,2.76,99.76,0.24,295.91,1.15,bicubic
vit_large_patch14_clip_336.laion2b_ft_in1k,336,97.24,2.76,99.72,0.28,304.53,1.0,bicubic
vit_base_patch16_clip_384.laion2b_ft_in12k_in1k,384,97.23,2.77,99.7,0.3,86.86,1.0,bicubic
mambaout_base_plus_rw.sw_e150_in12k_ft_in1k,288,97.23,2.77,99.75,0.25,101.66,1.0,bicubic
convformer_b36.sail_in22k_ft_in1k,224,97.23,2.77,99.76,0.24,99.88,1.0,bicubic
convnext_large.fb_in22k_ft_in1k,224,97.23,2.77,99.66,0.34,197.77,0.875,bicubic
convnext_base.fb_in22k_ft_in1k,288,97.22,2.78,99.76,0.24,88.59,1.0,bicubic
nextvit_base.bd_ssld_6m_in1k_384,384,97.22,2.78,99.73,0.27,44.82,1.0,bicubic
swinv2_large_window12to16_192to256.ms_in22k_ft_in1k,256,97.22,2.78,99.71,0.29,196.74,0.9,bicubic
mambaout_base_plus_rw.sw_e150_in12k_ft_in1k,224,97.22,2.78,99.68,0.32,101.66,1.0,bicubic
hiera_huge_224.mae_in1k_ft_in1k,224,97.21,2.79,99.63,0.37,672.78,0.9,bicubic
vit_betwixt_patch16_reg4_gap_384.sbb2_e200_in12k_ft_in1k,384,97.21,2.79,99.72,0.28,60.6,1.0,bicubic
convnextv2_base.fcmae_ft_in22k_in1k,288,97.21,2.79,99.76,0.24,88.72,1.0,bicubic
tf_efficientnet_b7.ns_jft_in1k,600,97.2,2.8,99.7,0.3,66.35,0.949,bicubic
maxvit_base_tf_512.in1k,512,97.19,2.81,99.64,0.36,119.88,1.0,bicubic
coatnet_rmlp_2_rw_224.sw_in12k_ft_in1k,224,97.19,2.81,99.65,0.35,73.88,0.95,bicubic
nextvit_large.bd_ssld_6m_in1k_384,384,97.18,2.82,99.75,0.25,57.87,1.0,bicubic
seresnextaa101d_32x8d.sw_in12k_ft_in1k,288,97.18,2.82,99.76,0.24,93.59,1.0,bicubic
swin_large_patch4_window12_384.ms_in22k_ft_in1k,384,97.18,2.82,99.69,0.31,196.74,1.0,bicubic
regnety_160.swag_ft_in1k,384,97.18,2.82,99.78,0.22,83.59,1.0,bicubic
maxvit_small_tf_512.in1k,512,97.18,2.82,99.62,0.38,69.13,1.0,bicubic
convnextv2_base.fcmae_ft_in22k_in1k,224,97.16,2.84,99.66,0.34,88.72,0.875,bicubic
caformer_b36.sail_in1k_384,384,97.15,2.85,99.61,0.39,98.75,1.0,bicubic
vit_mediumd_patch16_reg4_gap_256.sbb2_e200_in12k_ft_in1k,256,97.15,2.85,99.68,0.32,64.11,0.95,bicubic
maxvit_base_tf_384.in1k,384,97.14,2.86,99.58,0.42,119.65,1.0,bicubic
convnext_small.fb_in22k_ft_in1k_384,384,97.14,2.86,99.64,0.36,50.22,1.0,bicubic
vit_base_patch16_clip_384.openai_ft_in12k_in1k,384,97.13,2.87,99.64,0.36,86.86,0.95,bicubic
convnext_large_mlp.clip_laion2b_augreg_ft_in1k,256,97.13,2.87,99.72,0.28,200.13,1.0,bicubic
vit_huge_patch14_clip_224.laion2b_ft_in1k,224,97.11,2.89,99.7,0.3,632.05,1.0,bicubic
hgnetv2_b6.ssld_stage2_ft_in1k,288,97.1,2.9,99.74,0.26,75.26,1.0,bicubic
vit_base_patch8_224.augreg_in21k_ft_in1k,224,97.09,2.91,99.61,0.39,86.58,0.9,bicubic
maxvit_rmlp_base_rw_224.sw_in12k_ft_in1k,224,97.09,2.91,99.61,0.39,116.14,0.95,bicubic
hgnetv2_b6.ssld_stage1_in22k_in1k,288,97.08,2.92,99.71,0.29,75.26,1.0,bicubic
maxxvitv2_rmlp_base_rw_224.sw_in12k_ft_in1k,224,97.08,2.92,99.68,0.32,116.09,0.95,bicubic
swin_base_patch4_window12_384.ms_in22k_ft_in1k,384,97.07,2.93,99.77,0.23,87.9,1.0,bicubic
nextvit_small.bd_ssld_6m_in1k_384,384,97.07,2.93,99.71,0.29,31.76,1.0,bicubic
volo_d4_448.sail_in1k,448,97.07,2.93,99.76,0.24,193.41,1.15,bicubic
convformer_m36.sail_in22k_ft_in1k,224,97.07,2.93,99.63,0.37,57.05,1.0,bicubic
swinv2_base_window12to16_192to256.ms_in22k_ft_in1k,256,97.06,2.94,99.67,0.33,87.92,0.9,bicubic
maxvit_large_tf_512.in1k,512,97.06,2.94,99.59,0.41,212.33,1.0,bicubic
convnext_base.clip_laion2b_augreg_ft_in12k_in1k_384,384,97.06,2.94,99.69,0.31,88.59,1.0,bicubic
convformer_s36.sail_in22k_ft_in1k_384,384,97.05,2.95,99.71,0.29,40.01,1.0,bicubic
volo_d3_448.sail_in1k,448,97.04,2.96,99.68,0.32,86.63,1.0,bicubic
caformer_m36.sail_in22k_ft_in1k,224,97.03,2.97,99.73,0.27,56.2,1.0,bicubic
vit_large_patch14_clip_224.laion2b_ft_in1k,224,97.03,2.97,99.67,0.33,304.2,1.0,bicubic
rdnet_large.nv_in1k_ft_in1k_384,384,97.03,2.97,99.68,0.32,186.27,1.0,bicubic
hgnetv2_b6.ssld_stage1_in22k_in1k,224,97.03,2.97,99.61,0.39,75.26,0.965,bicubic
vit_base_patch16_384.augreg_in21k_ft_in1k,384,97.02,2.98,99.7,0.3,86.86,1.0,bicubic
vit_so150m_patch16_reg4_gap_256.sbb_e250_in12k_ft_in1k,256,97.02,2.98,99.67,0.33,134.13,0.95,bicubic
caformer_m36.sail_in1k_384,384,97.02,2.98,99.71,0.29,56.2,1.0,bicubic
tf_efficientnetv2_m.in21k_ft_in1k,480,97.02,2.98,99.62,0.38,54.14,1.0,bicubic
tf_efficientnet_b6.ns_jft_in1k,528,97.02,2.98,99.71,0.29,43.04,0.942,bicubic
dm_nfnet_f5.dm_in1k,544,97.02,2.98,99.67,0.33,377.21,0.954,bicubic
coatnet_2_rw_224.sw_in12k_ft_in1k,224,97.0,3.0,99.64,0.36,73.87,0.95,bicubic
convnext_small.in12k_ft_in1k_384,384,96.99,3.01,99.66,0.34,50.22,1.0,bicubic
dm_nfnet_f6.dm_in1k,576,96.98,3.02,99.76,0.24,438.36,0.956,bicubic
maxvit_tiny_tf_512.in1k,512,96.97,3.03,99.67,0.33,31.05,1.0,bicubic
seresnextaa101d_32x8d.sw_in12k_ft_in1k,224,96.96,3.04,99.64,0.36,93.59,0.875,bicubic
beitv2_base_patch16_224.in1k_ft_in22k_in1k,224,96.96,3.04,99.72,0.28,86.53,0.9,bicubic
vit_large_r50_s32_384.augreg_in21k_ft_in1k,384,96.96,3.04,99.72,0.28,329.09,1.0,bicubic
dm_nfnet_f4.dm_in1k,512,96.95,3.05,99.63,0.37,316.07,0.951,bicubic
tiny_vit_21m_384.dist_in22k_ft_in1k,384,96.95,3.05,99.62,0.38,21.23,1.0,bicubic
swin_large_patch4_window7_224.ms_in22k_ft_in1k,224,96.95,3.05,99.66,0.34,196.53,0.9,bicubic
maxvit_large_tf_384.in1k,384,96.95,3.05,99.56,0.44,212.03,1.0,bicubic
convnextv2_huge.fcmae_ft_in1k,224,96.94,3.06,99.64,0.36,660.29,0.875,bicubic
vit_base_patch8_224.augreg2_in21k_ft_in1k,224,96.94,3.06,99.65,0.35,86.58,0.9,bicubic
dm_nfnet_f6.dm_in1k,448,96.93,3.07,99.72,0.28,438.36,0.956,bicubic
xcit_large_24_p16_384.fb_dist_in1k,384,96.93,3.07,99.51,0.49,189.1,1.0,bicubic
vit_base_patch16_clip_384.laion2b_ft_in1k,384,96.92,3.08,99.67,0.33,86.86,1.0,bicubic
volo_d5_224.sail_in1k,224,96.91,3.09,99.66,0.34,295.46,0.96,bicubic
nextvit_large.bd_ssld_6m_in1k,224,96.91,3.09,99.64,0.36,57.87,0.95,bicubic
tf_efficientnetv2_xl.in21k_ft_in1k,384,96.9,3.1,99.46,0.54,208.12,1.0,bicubic
tf_efficientnet_b5.ns_jft_in1k,456,96.9,3.1,99.64,0.36,30.39,0.934,bicubic
deit3_base_patch16_224.fb_in22k_ft_in1k,224,96.89,3.11,99.62,0.38,86.59,1.0,bicubic
cait_m48_448.fb_dist_in1k,448,96.89,3.11,99.62,0.38,356.46,1.0,bicubic
resnetv2_152x4_bit.goog_in21k_ft_in1k,480,96.89,3.11,99.68,0.32,936.53,1.0,bilinear
tiny_vit_21m_512.dist_in22k_ft_in1k,512,96.89,3.11,99.71,0.29,21.27,1.0,bicubic
caformer_s36.sail_in1k_384,384,96.88,3.12,99.66,0.34,39.3,1.0,bicubic
nextvit_base.bd_ssld_6m_in1k,224,96.88,3.12,99.68,0.32,44.82,0.95,bicubic
deit3_large_patch16_384.fb_in1k,384,96.87,3.13,99.62,0.38,304.76,1.0,bicubic
convnext_small.fb_in22k_ft_in1k,288,96.87,3.13,99.51,0.49,50.22,1.0,bicubic
hgnetv2_b6.ssld_stage2_ft_in1k,224,96.87,3.13,99.65,0.35,75.26,0.965,bicubic
convformer_b36.sail_in1k_384,384,96.87,3.13,99.65,0.35,99.88,1.0,bicubic
tf_efficientnetv2_l.in21k_ft_in1k,384,96.86,3.14,99.59,0.41,118.52,1.0,bicubic
convnext_base.clip_laiona_augreg_ft_in1k_384,384,96.86,3.14,99.69,0.31,88.59,1.0,bicubic
convnext_base.fb_in22k_ft_in1k,224,96.85,3.15,99.66,0.34,88.59,0.875,bicubic
convnextv2_large.fcmae_ft_in1k,224,96.85,3.15,99.68,0.32,197.96,0.875,bicubic
convnextv2_large.fcmae_ft_in1k,288,96.85,3.15,99.77,0.23,197.96,1.0,bicubic
caformer_s36.sail_in22k_ft_in1k,224,96.84,3.16,99.62,0.38,39.3,1.0,bicubic
regnety_160.lion_in12k_ft_in1k,288,96.84,3.16,99.73,0.27,83.59,1.0,bicubic
regnety_320.swag_lc_in1k,224,96.83,3.17,99.73,0.27,145.05,0.965,bicubic
vit_base_patch16_clip_384.openai_ft_in1k,384,96.82,3.18,99.66,0.34,86.86,1.0,bicubic
xcit_small_24_p8_384.fb_dist_in1k,384,96.82,3.18,99.63,0.37,47.63,1.0,bicubic
efficientnet_b5.sw_in12k_ft_in1k,448,96.82,3.18,99.59,0.41,30.39,1.0,bicubic
cait_m36_384.fb_dist_in1k,384,96.82,3.18,99.66,0.34,271.22,1.0,bicubic
dm_nfnet_f5.dm_in1k,416,96.81,3.19,99.6,0.4,377.21,0.954,bicubic
regnety_160.sw_in12k_ft_in1k,288,96.81,3.19,99.7,0.3,83.59,1.0,bicubic
vit_mediumd_patch16_reg4_gap_256.sbb_in12k_ft_in1k,256,96.8,3.2,99.64,0.36,64.11,0.95,bicubic
flexivit_large.1200ep_in1k,240,96.8,3.2,99.61,0.39,304.36,0.95,bicubic
hgnet_base.ssld_in1k,288,96.8,3.2,99.68,0.32,71.58,1.0,bicubic
convnext_base.clip_laion2b_augreg_ft_in12k_in1k,256,96.8,3.2,99.68,0.32,88.59,1.0,bicubic
xcit_large_24_p8_384.fb_dist_in1k,384,96.79,3.21,99.55,0.45,188.93,1.0,bicubic
resnext101_32x32d.fb_wsl_ig1b_ft_in1k,224,96.79,3.21,99.53,0.47,468.53,0.875,bilinear
convformer_s18.sail_in22k_ft_in1k_384,384,96.79,3.21,99.71,0.29,26.77,1.0,bicubic
xcit_medium_24_p8_384.fb_dist_in1k,384,96.78,3.22,99.62,0.38,84.32,1.0,bicubic
volo_d4_224.sail_in1k,224,96.78,3.22,99.67,0.33,192.96,0.96,bicubic
beitv2_base_patch16_224.in1k_ft_in1k,224,96.78,3.22,99.55,0.45,86.53,0.9,bicubic
convformer_m36.sail_in1k_384,384,96.77,3.23,99.61,0.39,57.05,1.0,bicubic
efficientvit_l3.r320_in1k,320,96.75,3.25,99.41,0.59,246.04,1.0,bicubic
