model,img_size,top1,top1_err,top5,top5_err,param_count,crop_pct,interpolation
convnext_xlarge.fb_in22k_ft_in1k_384,384,78.81,21.19,95.11,4.89,350.2,1.0,bicubic
convnext_large.fb_in22k_ft_in1k_384,384,78.7,21.3,94.87,5.13,197.77,1.0,bicubic
hiera_huge_224.mae_in1k_ft_in1k,224,78.69,21.31,93.85,6.15,672.78,0.9,bicubic
convnext_large_mlp.clip_laion2b_augreg_ft_in1k,256,78.67,21.33,94.53,5.47,200.13,1.0,bicubic
deit3_large_patch16_224.fb_in22k_ft_in1k,224,78.64,21.36,94.74,5.26,304.37,1.0,bicubic
beitv2_large_patch16_224.in1k_ft_in1k,224,78.6,21.4,94.19,5.81,304.43,0.95,bicubic
vit_large_patch14_clip_224.laion2b_ft_in12k_in1k,224,78.51,21.49,94.68,5.32,304.2,1.0,bicubic
coatnet_rmlp_2_rw_384.sw_in12k_ft_in1k,384,78.49,21.51,94.34,5.66,73.88,1.0,bicubic
vit_so150m2_patch16_reg1_gap_256.sbb_e200_in12k_ft_in1k,256,78.48,21.52,94.51,5.49,136.06,1.0,bicubic
vit_large_patch14_clip_224.laion2b_ft_in1k,224,78.41,21.59,94.59,5.41,304.2,1.0,bicubic
caformer_s36.sail_in22k_ft_in1k_384,384,78.37,21.63,94.28,5.72,39.3,1.0,bicubic
swinv2_base_window12to24_192to384.ms_in22k_ft_in1k,384,78.37,21.63,94.72,5.28,87.92,1.0,bicubic
swin_large_patch4_window12_384.ms_in22k_ft_in1k,384,78.34,21.66,94.36,5.64,196.74,1.0,bicubic
swinv2_large_window12to24_192to384.ms_in22k_ft_in1k,384,78.31,21.69,94.64,5.36,196.74,1.0,bicubic
convnext_xlarge.fb_in22k_ft_in1k,288,78.28,21.72,94.53,5.47,350.2,1.0,bicubic
regnety_320.swag_ft_in1k,384,78.25,21.75,95.13,4.87,145.05,1.0,bicubic
convformer_m36.sail_in22k_ft_in1k_384,384,78.24,21.76,94.31,5.69,57.05,1.0,bicubic
vit_mediumd_patch16_reg4_gap_384.sbb2_e200_in12k_ft_in1k,384,78.19,21.81,94.23,5.77,64.27,1.0,bicubic
vit_so150m_patch16_reg4_gap_384.sbb_e250_in12k_ft_in1k,384,78.18,21.82,94.78,5.22,134.42,1.0,bicubic
maxxvitv2_rmlp_base_rw_384.sw_in12k_ft_in1k,384,78.15,21.85,94.41,5.59,116.09,1.0,bicubic
mambaout_base_plus_rw.sw_e150_r384_in12k_ft_in1k,384,78.15,21.85,94.69,5.31,101.66,1.0,bicubic
convformer_b36.sail_in22k_ft_in1k,224,78.15,21.85,94.19,5.81,99.88,1.0,bicubic
volo_d5_512.sail_in1k,512,78.12,21.88,94.22,5.78,296.09,1.15,bicubic
convnext_large.fb_in22k_ft_in1k,288,78.07,21.93,94.38,5.62,197.77,1.0,bicubic
convnextv2_huge.fcmae_ft_in1k,288,78.05,21.95,94.04,5.96,660.29,1.0,bicubic
deit3_base_patch16_384.fb_in22k_ft_in1k,384,77.98,22.02,94.2,5.8,86.88,1.0,bicubic
