model,img_size,top1,top1_err,top5,top5_err,param_count,crop_pct,interpolation
coatnet_rmlp_2_rw_384.sw_in12k_ft_in1k,384,90.3943,9.6057,98.6464,1.3536,73.88,1.0,bicubic
maxvit_large_tf_512.in21k_ft_in1k,512,90.3751,9.6249,98.64,1.36,212.33,1.0,bicubic
convnextv2_base.fcmae_ft_in22k_in1k_384,384,90.3751,9.6249,98.6656,1.3344,88.72,1.0,bicubic
maxvit_xlarge_tf_384.in21k_ft_in1k,384,90.373,9.627,98.5823,1.4177,475.32,1.0,bicubic
maxvit_base_tf_384.in21k_ft_in1k,384,90.3687,9.6313,98.6805,1.3195,119.65,1.0,bicubic
vit_large_patch14_clip_224.openai_ft_in12k_in1k,224,90.3623,9.6377,98.6656,1.3344,304.2,1.0,bicubic
beitv2_large_patch16_224.in1k_ft_in22k_in1k,224,90.3623,9.6377,98.5823,1.4177,304.43,0.95,bicubic
convnext_base.clip_laion2b_augreg_ft_in12k_in1k_384,384,90.3581,9.6419,98.7702,1.2298,88.59,1.0,bicubic
convnextv2_large.fcmae_ft_in22k_in1k_384,384,90.3538,9.6462,98.6464,1.3536,197.96,1.0,bicubic
seresnextaa201d_32x8d.sw_in12k_ft_in1k_384,384,90.3538,9.6462,98.736,1.264,149.39,1.0,bicubic
convnext_large_mlp.clip_laion2b_augreg_ft_in1k,256,90.3495,9.6505,98.6485,1.3515,200.13,1.0,bicubic
vit_so150m2_patch16_reg1_gap_256.sbb_e200_in12k_ft_in1k,256,90.3452,9.6548,98.7745,1.2255,136.06,1.0,bicubic
convnext_base.fb_in22k_ft_in1k_384,384,90.3431,9.6569,98.7958,1.2042,88.59,1.0,bicubic
vit_large_patch14_clip_336.laion2b_ft_in1k,336,90.341,9.659,98.5951,1.4049,304.53,1.0,bicubic
vit_large_patch14_clip_224.laion2b_ft_in12k_in1k,224,90.326,9.674,98.6699,1.3301,304.2,1.0,bicubic
maxvit_large_tf_384.in21k_ft_in1k,384,90.3175,9.6825,98.6699,1.3301,212.03,1.0,bicubic
caformer_s36.sail_in22k_ft_in1k_384,384,90.3153,9.6847,98.8065,1.1935,39.3,1.0,bicubic
vit_large_patch14_clip_224.openai_ft_in1k,224,90.3111,9.6889,98.6421,1.3579,304.2,1.0,bicubic
convnext_large.fb_in22k_ft_in1k_384,384,90.3068,9.6932,98.6656,1.3344,197.77,1.0,bicubic
vit_so150m_patch16_reg4_gap_384.sbb_e250_in12k_ft_in1k,384,90.2791,9.7209,98.7638,1.2362,134.42,1.0,bicubic
convformer_b36.sail_in22k_ft_in1k,224,90.2513,9.7487,98.7019,1.2981,99.88,1.0,bicubic
convformer_m36.sail_in22k_ft_in1k_384,384,90.2513,9.7487,98.657,1.343,57.05,1.0,bicubic
deit3_large_patch16_384.fb_in22k_ft_in1k,384,90.247,9.753,98.6293,1.3707,304.76,1.0,bicubic
seresnextaa101d_32x8d.sw_in12k_ft_in1k_288,320,90.2406,9.7594,98.783,1.217,93.59,1.0,bicubic
dm_nfnet_f6.dm_in1k,576,90.2406,9.7594,98.6293,1.3707,438.36,0.956,bicubic
