model,img_size,top1,top1_err,top5,top5_err,param_count,crop_pct,interpolation
convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_384,384,70.92,29.08,90.8667,9.1333,200.13,1.0,bicubic
vit_huge_patch14_clip_224.laion2b_ft_in12k_in1k,224,70.8933,29.1067,90.5467,9.4533,632.05,1.0,bicubic
swin_large_patch4_window12_384.ms_in22k_ft_in1k,384,70.8,29.2,90.5067,9.4933,196.74,1.0,bicubic
caformer_s36.sail_in22k_ft_in1k_384,384,70.7467,29.2533,90.4267,9.5733,39.3,1.0,bicubic
vit_mediumd_patch16_reg4_gap_384.sbb2_e200_in12k_ft_in1k,384,70.6267,29.3733,90.56,9.44,64.27,1.0,bicubic
convnextv2_large.fcmae_ft_in22k_in1k_384,384,70.2133,29.7867,89.6,10.4,197.96,1.0,bicubic
deit3_huge_patch14_224.fb_in22k_ft_in1k,224,70.1867,29.8133,90.8,9.2,632.13,1.0,bicubic
beit3_large_patch16_224.in22k_ft_in1k,224,70.16,29.84,90.68,9.32,304.57,1.0,bicubic
beit3_large_patch16_224.indomain_in22k_ft_in1k,224,70.08,29.92,90.2667,9.7333,304.57,1.0,bicubic
maxxvitv2_rmlp_base_rw_384.sw_in12k_ft_in1k,384,70.0267,29.9733,90.44,9.56,116.09,1.0,bicubic
convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_320,320,69.8533,30.1467,90.7067,9.2933,200.13,1.0,bicubic
volo_d5_512.sail_in1k,512,69.4667,30.5333,90.5867,9.4133,296.09,1.15,bicubic
caformer_b36.sail_in22k_ft_in1k,224,69.4533,30.5467,90.2133,9.7867,98.75,1.0,bicubic
beit_large_patch16_224.in22k_ft_in22k_in1k,224,69.0533,30.9467,89.9733,10.0267,304.43,0.9,bicubic
seresnextaa201d_32x8d.sw_in12k_ft_in1k_384,384,68.6267,31.3733,88.5733,11.4267,149.39,1.0,bicubic
deit3_large_patch16_224.fb_in22k_ft_in1k,224,68.5733,31.4267,89.96,10.04,304.37,1.0,bicubic
convformer_m36.sail_in22k_ft_in1k_384,384,68.52,31.48,89.16,10.84,57.05,1.0,bicubic
mambaout_base_plus_rw.sw_e150_r384_in12k_ft_in1k,384,68.4933,31.5067,89.6933,10.3067,101.66,1.0,bicubic
convnext_xlarge.fb_in22k_ft_in1k,288,68.24,31.76,90.12,9.88,350.2,1.0,bicubic
maxvit_base_tf_512.in1k,512,68.0933,31.9067,88.5467,11.4533,119.88,1.0,bicubic
regnety_160.swag_ft_in1k,384,68.0933,31.9067,90.68,9.32,83.59,1.0,bicubic
volo_d5_448.sail_in1k,448,67.96,32.04,89.7333,10.2667,295.91,1.15,bicubic
maxvit_large_tf_512.in1k,512,67.6667,32.3333,87.6933,12.3067,212.33,1.0,bicubic
beitv2_large_patch16_224.in1k_ft_in1k,224,67.6267,32.3733,88.7333,11.2667,304.43,0.95,bicubic
convnext_large.fb_in22k_ft_in1k_384,384,67.3867,32.6133,88.88,11.12,197.77,1.0,bicubic
swinv2_large_window12to16_192to256.ms_in22k_ft_in1k,256,67.3733,32.6267,88.5067,11.4933,196.74,0.9,bicubic
convnext_large_mlp.clip_laion2b_augreg_ft_in1k_384,384,67.2667,32.7333,89.96,10.04,200.13,1.0,bicubic
tf_efficientnet_b7.ns_jft_in1k,600,67.1867,32.8133,88.5333,11.4667,66.35,0.949,bicubic
tf_efficientnetv2_xl.in21k_ft_in1k,512,67.16,32.84,87.1467,12.8533,208.12,1.0,bicubic
vit_large_patch14_clip_336.laion2b_ft_in1k,336,67.0533,32.9467,88.9067,11.0933,304.53,1.0,bicubic
beit_base_patch16_384.in22k_ft_in22k_in1k,384,67.0133,32.9867,89.0933,10.9067,86.74,1.0,bicubic
convnextv2_large.fcmae_ft_in22k_in1k,288,66.88,33.12,88.88,11.12,197.96,1.0,bicubic
vit_large_patch14_clip_224.laion2b_ft_in12k_in1k,224,66.8533,33.1467,88.1467,11.8533,304.2,1.0,bicubic
convnext_large.fb_in22k_ft_in1k,288,66.3333,33.6667,88.9867,11.0133,197.77,1.0,bicubic
vit_so150m2_patch16_reg1_gap_256.sbb_e200_in12k_ft_in1k,256,66.3067,33.6933,88.68,11.32,136.06,1.0,bicubic
volo_d4_448.sail_in1k,448,66.2933,33.7067,89.0133,10.9867,193.41,1.15,bicubic
hiera_huge_224.mae_in1k_ft_in1k,224,66.2533,33.7467,86.5733,13.4267,672.78,0.9,bicubic
